No.;Kode;Nama Bahan Makanan;Komposisi Zat Gizi Makanan per 100 gram BDD (Bagian yang Dapat Dimakan) - Sumber: TKPI 2019;;;;;;;;;;;;;;;;;;;;;;Mentah /;Kelompok;Sumber
;Baru;⇲;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium;Fosfor;Besi;Natrium;Kalium;Tembaga;Seng;Retinol;β-karoten;Karoten;Thiamin;Riboflavin;Niasin;Vitamin C;BDD;Olahan;Makanan;TKPI 2019
;⇲;;⇲;⇲;⇲;⇲;⇲;⇲;⇲;(Ca)  ⇲;(P)  ⇲;(Fe)  ⇲;(Na)  ⇲;(Ka)  ⇲;(Cu)  ⇲;(Zn)  ⇲;(vit. A)  ⇲;⇲;total  ⇲;(vit. B1)  ⇲;(vit. B2)  ⇲;⇲;⇲;⇲;⇲;⇲;⇲
;;;(g);(Kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;
71;GR064;Rebon, udang kecil, segar;79;81;16,2;1,2;0,7;-;2,9;757;292;2,2;169;202,9;0,7;1,2;18;-;-;0,04;0,1;2,4;-;100;Tunggal;Ikan dsb;DABM-1964
72;BR022;Sagu singkong, kering;12;362;0,5;0,3;86,9;-;0,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Tunggal;Umbi;DABM-1964
73;BR023;Sente, talas, segar;14;353;0,7;0,2;84,7;6,6;0,4;11;13;1,5;30;694,6;0,6;2,2;-;41;-;0,05;0,2;2,8;5;86;Tunggal;Umbi;DABM-1964
74;MP014;Sirup;44;213;-;-;55;-;1;-;-;-;3;4,2;-;-;-;-;-;-;-;-;-;100;Olahan;Gula;DABM-1964
75;BP064;Tepung Arrowroot;13,6;355;0,7;0,2;85,2;0,4;0,3;8;22;1,5;2;10,7;-;0,1;-;20;3;0,09;-;-;-;100;Olahan;Umbi;DABM-1964
76;BP067;Tepung kentang, kering;13;347;0,3;0,1;85,6;0,4;1;20;30;0,5;51;156,3;0,2;0,5;-;-;-;0,04;-;0,4;-;100;Olahan;Umbi;DABM-1964
77;BP070;Tepung singkong/ Tapioka;9,1;363;1,1;0,5;88,2;0,9;1,1;84;125;1;1;7,1;-;0,1;-;-;-;0,04;-;0,4;-;100;Olahan;Umbi;DABM-1964
78;GR084;Udang, segar;75;91;21;0,2;0,1;-;3,7;136;170;8;178;222,4;0,3;1,3;18;4;-;0,01;0,4;3,7;-;68;Tunggal;Ikan dsb;DABM-1964
79;ER001;Alpukat, segar;84,3;85;0,9;6,5;7,7;-;0,6;10;20;0,9;2;278;0,2;0,4;-;189;180;0,05;0,08;1;13;61;Tunggal;Buah;DABM-1964
80;CP018;Ampas tahu, kering;9;414;26,6;18,3;41,3;-;5,8;19;29;4;45;1.055,70;0,99;2,8;-;-;-;0,2;0,1;0,5;-;100;Olahan;Kacang;DABM-1964
81;FR001;Anak sapi, daging, gemuk, segar;62;184;18,8;14;-;-;5,2;10;200;2,2;118;490,1;0,17;5,8;12;37;-;0,13;0,17;7;-;100;Tunggal;Daging;DABM-1964
82;FR002;Anak sapi, daging, kurus, segar;69;174;19,6;10;-;-;1,4;11;201;2,9;96;399,8;0,14;4,8;6;30;-;0,08;0,14;5,7;-;100;Tunggal;Daging;DABM-1964
83;FR003;Anak sapi, daging, sedang, segar;68;190;19,1;12;-;-;0,9;11;193;2,9;99;412,7;0,14;4,9;12;83;-;0,14;0,15;5,9;-;100;Tunggal;Daging;DABM-1964
84;DR004;Andewi, segar;91,8;226;1,6;0,2;5,3;4,1;1,1;33;66;1;29;414,6;0,13;1;-;1.717;-;0,14;0,09;0,5;10;80;Tunggal;Sayur;DABM-1964
85;FR004;Angsa, daging, segar;51,1;349;16,4;31,5;-;-;1;15;188;1,8;71;299,2;0,26;1,7;273;-;-;0,1;0,24;7,1;-;60;Tunggal;Daging;DABM-1964
86;ER004;Apel, segar;84,1;58;0,3;0,4;14,9;2,6;0,3;6;10;0,3;2;130;124,2;0,3;-;30;90;0,04;0,03;0,1;5;88;Tunggal;Buah;DABM-1964
87;ER005;Arbai, segar;89,9;37;0,8;0,5;8,3;-;0,5;28;27;0,8;2;43;63,52;18,9;-;2;60;0,03;-;0,1;60;96;Tunggal;Buah;DABM-1964
88;NR005;Asam masak pohon, segar;31,4;267;2,8;0,6;62,5;1,2;2,7;74;113;0,6;9;139,5;0,09;0,1;-;9;30;0,34;0,04;0,7;2;48;Tunggal;Bumbu;DABM-1964
