No.;Kode;Nama Bahan Makanan;Komposisi Zat Gizi Makanan per 100 gram BDD (Bagian yang Dapat Dimakan) - Sumber: TKPI 2019;;;;;;;;;;;;;;;;;;;;;;Mentah /;Kelompok;Sumber
;Baru;⇲;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium;Fosfor;Besi;Natrium;Kalium;Tembaga;Seng;Retinol;β-karoten;Karoten;Thiamin;Riboflavin;Niasin;Vitamin C;BDD;Olahan;Makanan;TKPI 2019
;⇲;;⇲;⇲;⇲;⇲;⇲;⇲;⇲;(Ca)  ⇲;(P)  ⇲;(Fe)  ⇲;(Na)  ⇲;(Ka)  ⇲;(Cu)  ⇲;(Zn)  ⇲;(vit. A)  ⇲;⇲;total  ⇲;(vit. B1)  ⇲;(vit. B2)  ⇲;⇲;⇲;⇲;⇲;⇲;⇲
;;;(g);(Kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;
249;CR050;Nangka, biji, segar;57,7;165;4,2;0,1;36,7;1,8;1,3;33;200;1;69;179;0,12;0,2;-;-;-;0,2;0,03;1,4;10;75;Tunggal;Kacang;DABM-1964
250;CP051;Oncom;57;187;13;6;22,6;-;1,4;96;115;27;-;-;-;-;-;-;-;0,09;-;1,6;-;100;Olahan;Kacang;DABM-1964
251;NR024;Pala, biji, kering;14,3;518;7,5;36,4;40,1;3,5;1,7;120;240;4,6;2;78,7;0,94;2;-;7;-;0,2;0,02;0,5;-;95;Tunggal;Bumbu;DABM-1964
252;ER072;Pala, daging, segar;88,1;42;0,3;0,2;10,9;0,5;0,5;32;24;1,5;-;-;-;-;-;-;29;-;-;-;22;30;Tunggal;Buah;DABM-1964
253;DR133;Pepaya muda, segar;92,3;29;2,1;0,1;4,9;2,1;0,6;50;16;0,4;22;211,2;0,01;-;-;-;50;0,02;0,03;0,3;19;65;Tunggal;Sayur;DABM-1964
254;ER073;Pepaya, segar;86,7;46;0,5;12;12,2;1,6;0,6;23;12;1,7;4;221;0,02;0,3;-;1.038;365;0,04;0,06;0,4;78;75;Tunggal;Buah;DABM-1964
255;DR135;Peterseli, segar;83,9;53;3,7;1;9;-;2,4;193;84;4,3;18;1.125,60;0,2;1,4;-;2.940;8.230;0,11;0,29;0,7;193;95;Tunggal;Sayur;DABM-1964
256;NP006;Petis ikan;56;165;20;0,2;20,8;-;3;37;36;2,8;-;-;-;-;-;-;-;0,01;0,2;0,8;-;100;Olahan;Bumbu;DABM-1964
257;NP008;Petis udang pasta;39;220;15;0,9;38;2,3;7,1;37;36;2,8;7.981;307,9;0,5;1,3;-;-;-;0,01;0,13;1,7;-;100;Olahan;Bumbu;DABM-1964
258;ER075;Pisang angleng (pisang ampyang), segar;80,3;68;1,3;0,2;17,2;0,8;1;10;26;0,6;23;215,7;0,04;0;-;9;76;0,08;0,05;2,5;6;75;Tunggal;Buah;DABM-1964
259;ER084;Pisang lampung, segar;72,1;99;1,3;0,2;25,6;4,3;0,8;10;19;0,9;28;475;0,25;0,5;-;43;618;0,07;0,12;1;4;75;Tunggal;Buah;DABM-1964
260;ER087;Pisang mas, segar;64,2;127;1,4;0,2;33,6;1,4;0,6;7;25;0,8;42;392;195,78;0,5;-;17;79;0,09;0,08;4,5;2;85;Tunggal;Buah;DABM-1964
261;ER089;Pisang raja, segar;65,8;120;1,2;0,2;31,8;5,3;1;10;22;0,8;35;582,2;0,31;0,7;-;53;950;0,06;0,14;1,2;10;70;Tunggal;Buah;DABM-1964
262;ER097;Rambutan, segar;80,5;69;0,9;0,1;18,1;0,8;0,4;16;16;0,5;16;104,2;0,17;0,1;-;-;-;-;0,07;0,5;58;40;Tunggal;Buah;DABM-1964
263;AP024;Roti putih;40;248;8;1,2;50;9,1;0,8;10;95;1,5;530;91;0,15;0,9;-;-;-;0,1;0,29;2,4;-;100;Olahan;Serealia;DABM-1964
264;AP104;Roti warna sawo matang;40;249;7,9;1,5;49,7;-;0,9;20;140;2,5;500;91;-;-;-;-;-;0,15;-;-;-;100;Olahan;Serealia;DABM-1964
265;ER101;Salak, segar;78;77;0,4;-;20,9;-;0,7;28;18;4,2;-;-;0,08;0,2;-;48;-;0,04;-;-;2;93;Tunggal;Buah;DABM-1964
266;KP003;Santan (dengan air);80;122;2;10;7,6;1,4;0,4;25;30;0,1;9;162,5;0,16;0,4;-;-;-;0,02;-;0,5;2;100;Olahan;Lemak;DABM-1964
267;KP004;Santan murni;54,9;324;4,2;34,3;5,6;-;1;14;45;1,9;18;514,1;0,37;0,9;-;-;-;0,02;-;0,5;2;100;Olahan;Lemak;DABM-1964
268;NP009;Saos tomat;69,5;110;2;0,4;24,5;0,9;3,6;12;18;0,8;890;129,7;0,18;0,3;-;357;570;0,09;0,06;1,7;11;100;Olahan;Bumbu;DABM-1964
269;FR023;Sapi, babat, segar;76,7;108;17,6;4,2;-;-;1,5;12;144;1;147;101,4;0,11;2,2;-;49;-;0,15;0,17;1,7;-;100;Tunggal;Daging;DABM-1964
270;FP013;Sapi, daging, asap;60;182;32;6;-;-;2;15;300;5;1.620;485,4;0,03;5,1;6;-;-;0,12;0,23;5,9;-;100;Olahan;Daging;DABM-1964
271;FP014;Sapi, daging, dendeng, mentah;25;301;55;9;-;-;11;30;370;5,1;-;-;-;-;-;-;-;0,1;-;-;-;100;Olahan;Daging;DABM-1964
272;FR024;Sapi, daging, gemuk, segar;60;273;17,5;22;-;-;0,5;10;150;2,6;93;267;0,17;6,4;12;-;-;0,08;0,18;7,3;-;100;Tunggal;Daging;DABM-1964
273;FP015;Sapi, daging, kornet;53;289;16;25;-;-;6;10;170;4;794;94,4;0,07;4;-;52;-;0,01;0,16;2,7;-;100;Olahan;Daging;DABM-1964
274;FR025;Sapi, daging, kurus, segar;69;174;19,6;10;-;-;1,4;11;181;2,9;83;489;0,07;4,9;6;181;-;0,07;0,51;1,2;-;100;Tunggal;Daging;DABM-1964
275;FR026;Sapi, daging, lemak sedang, segar;66;201;18,8;14;-;-;1,2;11;170;2,8;105;378;4,58;5,2;9;198;-;0,08;0,56;1,3;-;100;Tunggal;Daging;DABM-1964
276;FP016;Sapi, daging, sosis (Worst);37,6;448;14,5;42,3;2,3;-;3,3;28;61;1,1;765;284,5;0,06;1,7;-;-;-;0,1;0,18;4,9;-;100;Olahan;Daging;DABM-1964
277;FR028;Sapi, dideh/darah;75,6;98;21,9;1,1;-;-;1,4;7;24;1,3;150;170;-;0,2;15;214;-;0,01;0,03;0,9;-;100;Tunggal;Daging;DABM-1964
278;FR029;Sapi, ginjal, segar;74,9;137;15;8,1;0,9;-;1,1;9;221;7,9;200;230,2;-;-;348;583;-;0,37;1,22;6,1;13;100;Tunggal;Daging;DABM-1964
279;FP017;Sapi, hati, sosis (liverworst);56,6;274;16;22;3;2,3;2,4;20;150;4;654;158,8;0,22;2,2;1.201;-;-;0,2;0,96;4;-;100;Olahan;Daging;DABM-1964
280;FR031;Sapi, liver, segar;69,7;132;19,7;3,2;6;-;1,4;7;358;6,6;110;213;0,51;2,3;13.303;355;-;0,26;1,52;11,4;31;100;Tunggal;Daging;DABM-1964
281;FR032;Sapi, otak, segar;78,9;123;10,4;8,6;0,8;-;1,3;16;330;3,6;112;243,8;0,26;0,9;-;-;-;0,23;0,19;3,9;18;100;Tunggal;Daging;DABM-1964
282;FR033;Sapi, usus, segar;76,7;126;14;7,2;1,5;-;0,6;14;115;4;-;-;-;-;61;-;-;0,08;0,33;0,2;-;100;Tunggal;Daging;DABM-1964
283;CP059;Saridele, bubuk;3;344;30;20;43;6,2;4;450;500;4;56;2.572,30;2,99;4;-;-;2.000;0,7;0,16;2;10;100;Olahan;Kacang;DABM-1964
284;DR141;Sawi, segar;92,2;28;2,3;0,3;4;2,5;1,2;220;38;2,9;22;436,5;0,12;0,2;-;2.042;6.460;0,09;0,23;0,7;102;87;Tunggal;Sayur;DABM-1964
285;ER104;Sawo Manila, segar;75,5;92;0,5;1,1;22,4;9,5;0,5;25;12;1;26;110,2;0,04;0,1;-;111;60;0,01;0,04;1,4;21;79;Tunggal;Buah;DABM-1964
286;DR145;Selada, segar;94,8;18;1,2;0,2;2,9;1,8;0,9;22;25;0,5;19;186,4;0,03;0,2;-;1.526;540;0,04;0,13;0,4;8;69;Tunggal;Sayur;DABM-1964
287;DR147;Seledri, segar;93;23;1;0,1;4,6;2;1,3;50;40;1;64;258,8;0,08;0,4;-;63;130;0,03;0,07;0,4;11;63;Tunggal;Sayur;DABM-1964
288;ER105;Semangka, segar;92,1;28;0,5;0,2;6,9;0,4;0,3;7;12;0,2;7;93,8;0,04;0,1;-;315;590;0,05;0,05;0,3;6;46;Tunggal;Buah;DABM-1964
289;ER106;Sirsak, segar;81,7;65;1;0,3;16,3;3,2;0,7;14;27;0,6;2;298,9;0,08;1;-;8;10;0,07;0,08;0,7;20;68;Tunggal;Buah;DABM-1964
290;JP005;Susu asam untuk bayi, bubuk;2,5;418;19;9;65,5;-;4;800;600;7;188;486,5;-;-;303;83;-;1;1,31;0,7;30;100;Olahan;Susu;DABM-1964
291;JP006;Susu bubuk;3,5;513;24,6;30;36,2;-;5,7;904;694;0,6;380;1.330,00;0,02;4,1;476;118;-;0,29;1,39;1,6;6;100;Olahan;Susu;DABM-1964
292;JR003;Susu kambing, segar;85,9;64;4,3;2,3;6,6;-;0,9;98;78;2,7;35;160;0,33;0,1;38;-;-;0,06;0,45;0,3;1;100;Tunggal;Susu;DABM-1964
293;CP060;Susu kedelai;87;41;3,5;2,5;5;0,2;2;50;45;0,7;128;287,9;0,12;1;-;-;200;0,08;0,05;0,7;2;100;Olahan;Kacang;DABM-1964
294;JP007;Susu kental manis;25;343;8,2;10;55;-;1,8;275;209;0,2;150;320;0,02;1;155;46;-;0,05;0,43;0,4;1;100;Olahan;Susu;DABM-1964
295;JP008;Susu kental tak manis;73,7;138;7;7,9;9,9;-;1,5;243;195;0,2;140;303;-;-;121;-;-;0,05;-;-;1;100;Olahan;Susu;DABM-1964
296;JR004;Susu kerbau, segar;73,8;160;6,3;12;7,1;-;0,8;216;101;0,2;82;-;-;0,3;24;-;-;0,04;0,07;-;1;100;Tunggal;Susu;DABM-1964
297;JR006;Susu sapi, segar;88,3;61;3,2;3,5;4,3;-;0,7;143;60;1,7;36;149;0,02;0,3;39;12;-;0,03;0,18;0,2;1;100;Tunggal;Susu;DABM-1964
298;JP009;Susu skim, bubuk;3,5;359;35,6;1;52;-;7,9;1.300;1.030;0,6;470;1.745,00;0,04;4,1;-;10;-;0,35;1,05;1,2;7;100;Olahan;Susu;DABM-1964
299;JP010;Susu skim, segar;90,5;36;3,5;0,1;5,1;-;0,8;123;97;0,1;38;-;-;-;-;-;-;0,04;-;-;1;100;Olahan;Susu;DABM-1964
300;DR149;Taoge kacang kedelai, segar;81;76;9;2,6;6,4;0,7;1;50;65;1;5;212,4;0,26;0,7;-;-;110;0,23;0,19;1,2;15;100;Tunggal;Sayur;DABM-1964
301;DR150;Taoge kacang tunggak, segar;88;40;5;0,2;5,8;2,6;1;57;88;1;2;226,8;0,07;0,5;-;299;-;0,07;0,08;0,8;15;90;Tunggal;Sayur;DABM-1964
302;DR151;Tebu terubuk (lilin), segar;91;30;4,6;0,4;3;0,8;1;40;80;2;699;-;0,2;1,1;-;12;-;0,08;0,2;1,2;50;20;Tunggal;Sayur;DABM-1964
303;DR153;Tekokak, kering;12,3;302;8,3;1,7;72,6;21,2;8,1;370;180;22,2;9;-;1.044,20;1;-;187;750;0,4;0,17;5,1;-;100;Tunggal;Sayur;DABM-1964
304;DR152;Tekokak, segar;89;34;2;0,1;7,9;4,9;1;50;30;2;3;333,3;0,12;0,2;-;23;750;0,08;0,05;0,9;8;95;Tunggal;Sayur;DABM-1964
305;HR003;Telur ayam ras, bagian kuning, segar;49,4;355;16,3;31,9;0,7;-;1,7;147;586;7,2;111;107,5;0,2;2,5;606;63;-;0,27;0,51;0,2;-;100;Tunggal;Telur;DABM-1964
306;HR004;Telur ayam ras, bagian putih, segar;87,8;50;10,8;-;0,8;-;0,6;6;17;0,2;164;138,5;0,03;0,4;-;-;-;-;0,26;0,4;-;100;Tunggal;Telur;DABM-1964
307;HR006;Telur bebek, bagian kuning, segar;47;386;17;35;0,8;-;0,2;150;400;7;106;90,7;0,09;2,5;870;747;-;0,6;0,68;1,4;-;100;Tunggal;Telur;DABM-1964
308;HR007;Telur bebek, bagian putih, segar;88;54;11;-;0,8;-;0,2;21;20;0,1;184;150,2;0,13;0,1;-;-;-;0,01;0,02;0,1;-;100;Tunggal;Telur;DABM-1964
309;CP070;Tempe bongkrek;72,5;119;4,4;3,5;18,3;-;146,3;27;100;2,6;-;-;-;-;-;-;-;0,08;-;-;-;100;Olahan;Kacang;DABM-1964
310;CP078;Tempe koro benguk;64;141;10,2;1,3;23,2;-;1,3;42;15;2,6;-;-;-;-;-;-;-;0,09;-;-;-;100;Olahan;Kacang;DABM-1964
311;AP004;Tepung beras, mentah;12;353;7;0,5;80;2,4;0,5;5;140;0,8;5;241;0,1;0,8;-;-;-;0,12;0,1;1,2;-;100;Olahan;Serealia;DABM-1964
312;CP084;Tepung hunkwe (pati kacang ijo);10;364;4,5;1;83,5;16,1;1;50;100;1;15;1.232,90;0,93;2,7;-;-;-;-;0,23;2,2;-;100;Olahan;Kacang;DABM-1964
313;AP013;Tepung jagung putih;12;355;9,2;3,9;73,7;7,2;1,2;10;256;2,4;11;24,4;0,23;1,7;-;-;-;0,38;0,02;0,3;-;100;Olahan;Serealia;DABM-1964
314;CP086;Tepung kacang kedelai;9;347;35,9;20,6;29,9;5,8;4;195;544;8,4;52;2.522,60;4.303,45;2,6;-;-;140;0,77;0,32;2,1;-;100;Olahan;Kacang;DABM-1964
315;NP013;Terasi merah;40;174;30;3,5;5,6;2,2;20,4;100;150;3,1;7.850;302,8;0,49;1,2;-;-;-;-;0,12;1,7;-;100;Olahan;Bumbu;DABM-1964
316;DR154;Terong, segar;92,7;28;1,1;0,2;5,5;2,1;0,5;15;37;0,4;9;187;0,1;0,1;-;46;30;0,04;0,03;0,5;5;100;Tunggal;Sayur;DABM-1964
317;DR162;Tomat muda, segar;93;24;2;0,7;3,3;1,8;2;5;27;0,5;10;210;0,07;0,2;-;384;320;0,07;0,04;0,7;30;95;Tunggal;Sayur;DABM-1964
318;DR160;Tomat, air (sari), segar;94;20;1;0,2;3,5;0,4;1,3;7;15;0,4;10;225,2;0,06;0,1;-;266;600;0,05;0,03;0,7;10;100;Tunggal;Sayur;DABM-1964
319;CR052;Wijen, mentah;5,8;568;19,3;51,1;18,1;3,6;5,8;1.125;614;9,5;18;303,7;4,16;7,9;-;15;-;0,93;0,2;5,7;-;100;Tunggal;Kacang;DABM-1964
320;JP011;Yoghurt, segar;88;52;3,3;2,5;4;-;2,2;120;90;0,1;40;299;0,01;0,6;22;10;-;0,04;0,1;0,2;-;100;Olahan;Susu;DABM-1964
321;GP026;Ikan pepetek, mentah;33;176;32;4,4;2;-;28,6;120;200;1;79;1;-;-;15;-;-;0,05;0,1;2,4;-;-;Olahan;Ikan dsb;DABM-60/64
322;GP027;Ikan Pindang banjar, mentah;59;157;28;4,2;1,8;-;7;50;100;1;-;-;-;-;45;-;-;0,1;-;-;-;-;Olahan;Ikan dsb;DABM-60/64
323;GP028;Ikan Pindang benggol, mentah;57;170;31;4,2;-;-;7,8;50;100;1;-;-;-;-;45;-;-;0,1;-;-;-;-;Olahan;Ikan dsb;DABM-60/64
324;GP029;Ikan Pindang layang, mentah;60;153;30;2,8;-;-;7,2;60;200;3;-;-;-;-;61;-;-;0,07;-;-;-;-;Olahan;Ikan dsb;DABM-60/64
325;GP030;Ikan Pindang selar, mentah;60;142;27;3;-;-;10;60;200;3;-;-;-;-;61;-;-;0,07;-;-;-;-;Olahan;Ikan dsb;DABM-60/64
326;GP035;Ikan selar, kering, mentah;43;194;38;3,5;-;-;15,5;20;200;1;-;-;-;-;-;-;-;0,01;-;-;-;-;Olahan;Ikan dsb;DABM-60/64
327;GP036;Ikan sepat, kering, mentah;30;289;38;14;-;-;18;40;100;0,7;-;-;-;-;-;-;-;-;-;-;-;-;Olahan;Ikan dsb;DABM-60/64
328;GP039;Ikan Teri nasi, kering, mentah;34,5;144;32,5;0,6;-;-;32,4;1.000;1.000;3;312;-;-;-;61;-;-;0,1;-;-;-;-;Olahan;Ikan dsb;DABM-60/64
329;GP040;Ikan Teri, bubuk, mentah;15;277;60;2,3;1,8;-;20,9;1.209;1.225;3;-;-;-;-;90;-;-;0,1;-;-;-;-;Olahan;Ikan dsb;DABM-60/64
330;GP041;Ikan teri, kering, mentah;37,8;170;33,4;3;-;-;25,8;1.200;1.500;3,6;-;-;-;-;64;-;-;0,15;-;-;-;-;Olahan;Ikan dsb;DABM-60/64
331;GP042;Ikan Teri, kering, tawar, mentah;16,7;331;68,7;4,2;-;-;10,4;2.381;1.500;23,4;-;-;-;-;61;-;-;0,1;-;-;-;-;Olahan;Ikan dsb;DABM-60/64
332;GP046;Rebon, kering, mentah;21,6;299;59,4;3,6;3,2;-;12,2;2.306;625;21,4;-;-;-;-;-;-;-;0,06;-;-;-;-;Olahan;Ikan dsb;DABM-60/64
333;GP049;Sardines dalam kaleng;47,1;338;21,1;27;1;-;3,8;354;434;3,5;-;-;-;-;76;-;-;0,1;-;-;-;-;Olahan;Ikan dsb;DABM-60/64
334;HP002;Telur bebek, asin, mentah;66,5;179;13,6;13,3;4,4;-;2,2;120;157;1,8;483;140,1;-;-;253;13;-;0,28;0,98;0,6;-;83;Olahan;Telur;DABM-60/64
335;DR051;Daun lobak, segar;90;30;2,3;0,4;5,8;3,2;1,4;140;33;3,7;16;747,4;0,2;0,2;-;5.039;1.000;0,07;1,1;6,5;109;70;Tunggal;Sayur;DKBM-1964
336;NR017;Daun salam, bubuk;13,1;301;14,2;10,9;49;9,4;12,8;86;250;44,1;180;619;1,31;0,7;-;5.400;-;0,1;0,32;5;-;100;Tunggal;Bumbu;FCTEA-1972
337;FR020;Kelinci, daging, segar;74,3;142;16,9;7,8;-;-;1;7;350;1;49;371,1;-;-;-;-;-;0,11;0,11;6,8;-;100;Tunggal;Daging;FCTEA-1972
338;MP009;Kopi bubuk instant;2,6;129;12,3;0,5;35;-;9,7;179;383;5,6;72;3.256,00;0,14;-;-;-;-;-;0,21;30,6;-;100;Olahan;Gula;FCTEA-1972
339;KR010;Minyak kedelai;0,1;883;-;99,9;-;-;-;-;-;-;-;0,1;-;-;-;-;-;-;-;-;-;100;Tunggal;Lemak;FCTEA-1972
340;KR013;Minyak wijen;0,1;881;0,2;99,7;-;-;-;10;5;0,1;2;20;-;-;-;-;-;0,01;0,07;0,1;-;100;Tunggal;Lemak;FCTEA-1972
341;JR002;Susu ibu - ASI;88,1;62;1,5;3,2;7;-;0,2;34;20;0,2;15;41;0,01;0,4;-;7;-;0,01;0,03;0,2;-;100;Tunggal;Susu;FCTEA-1972
342;JR005;Susu kuda, segar;91;40;2;1,1;5,4;-;0,4;-;-;-;-;37,4;-;-;-;1;-;-;0,2;0,2;-;100;Tunggal;Susu;FCTEA-1972
343;MP016;Teh hijau daun kering;7,7;300;28,3;4,8;53,6;9,6;5,6;245;415;18,9;60;5.873,90;0,5;-;-;8.400;-;0,38;1,24;4,6;230;100;Olahan;Gula;FCTEA-1972
344;MP017;Teh hitam daun kering;8;293;24,5;2,8;58,8;8,7;5,9;327;313;24,3;50;5.854,80;-;-;-;2.700;-;0,07;0,8;7,6;9;100;Olahan;Gula;FCTEA-1972
345;MP018;Teh melati daun kering;8,1;299;24,1;3,5;59;9,7;5,3;320;185;31,6;70;5.848,40;0,53;-;-;8.400;-;0,07;0,79;7,3;85;100;Olahan;Gula;FCTEA-1972
346;HR011;Telur burung puyuh, segar;79,8;116;10,7;7;1,6;-;0,9;65;191;3,5;111;11;0,05;1,2;95;80;-;0,13;0,65;0,1;-;100;Tunggal;Telur;FCTEA-1972
347;HP005;Bayau mi balu, masakan;36,1;313;6;12,2;44,8;-;0,9;-;-;-;-;-;-;-;783;89;-;0,14;0,27;9,7;-;100;Olahan;Telur;KGZMI-2001
348;HP006;Cucuru bayau, masakan;35;349;6,8;18,7;38,3;-;1,2;-;-;-;-;-;-;-;-;123;-;0,06;0,25;-;-;100;Olahan;Telur;KGZMI-2001
349;GP066;Gulai keumamah, masakan;81,4;110;5,9;8,2;3,2;-;1,3;32;96;1;335;121;0,2;0,9;-;-;-;0,33;0,04;-;-;100;Olahan;Ikan dsb;KGZMI-2001
350;AP99;Putri hijau;54,8;189;5,4;2,1;37,2;-;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KGZMI-2001
351;GP095;Tumis keumamah;45,7;300;14,5;20;15,5;4,5;4,3;-;-;-;-;-;-;-;-;8;-;0,63;0,04;-;7;100;Olahan;Ikan dsb;KGZMI-2001
352;GP053;Abon haruwan;11,6;513;23,7;37;21,3;-;6,4;25;25;0,5;61;15;-;0,2;-;-;-;-;-;-;-;100;Olahan;Ikan dsb;KZGMI-2001
353;GP054;Abon ikan;6,4;435;27,2;20,2;36,1;-;10,1;-;-;-;-;-;-;-;-;-;-;-;0,8;24,3;-;100;Olahan;Ikan dsb;KZGMI-2001
354;AP026;Amparan tatak;58,4;191;1,3;5,5;34;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001
355;DP023;Anyang, sayur;76,9;126;3,4;7,9;10,3;5,4;1,5;180;1;2,9;290;181;0,3;1,2;-;3.263;-;0,2;-;-;-;100;Olahan;Sayur;KZGMI-2001
356;AP027;Apang kukus, kue;49,5;202;3;0,3;46,7;-;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001
357;AP028;Apem, kue;63,1;148;2;0,5;33,9;-;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001
358;DP024;Ares, sayur;77,7;113;0,9;7,2;11,2;4,7;3;63;5;1,5;1.413;1.030,00;0,7;3,8;-;6;-;0,1;-;0,5;-;100;Olahan;Sayur;KZGMI-2001
359;DP025;Arwan sirsir;59;277;2,4;25;10,7;4,6;2,9;120;40;2,4;240;320;0,2;0,9;-;1.578;-;0,1;0,2;-;11;100;Olahan;Sayur;KZGMI-2001
360;FP034;Ayam taliwang, masakan;57,5;264;18,2;20,1;2,7;-;1,5;94;164;2;507;408;0,4;12,3;1.067;-;-;-;-;-;-;100;Olahan;Daging;KZGMI-2001
361;FP035;Babi hutan masak rica, masakan;56,2;491;24,6;16,3;0,2;-;2,7;18;144;1,2;1.415;327;0,2;2,6;2.193;-;-;0,61;0,47;-;0,2;100;Olahan;Daging;KZGMI-2001
362;BP013;Bagea kelapa asin;3,5;450;3,2;13,9;78,1;-;1,3;38;38;0,3;74;-;0,2;0,2;-;-;-;0,3;-;-;-;100;Olahan;Umbi;KZGMI-2001
363;BP014;Bagea kelapa manis;3;452;1,3;13,8;80,6;-;1,3;38;39;0,3;75;-;0,2;0,2;-;-;0,3;-;-;-;-;100;Olahan;Umbi;KZGMI-2001
364;BP015;Bagea kenari asin;2,8;529;3,2;29,1;63,6;-;1,3;38;40;0,4;74;-;0,2;0,2;-;-;-;0,3;-;-;-;100;Olahan;Umbi;KZGMI-2001
365;BP016;Bagea kenari manis;3,1;523;3,2;28,2;64,2;-;1,3;38;39;0,3;74;-;0,2;0,2;-;-;-;0,3;-;-;-;100;Olahan;Umbi;KZGMI-2001
366;DR005;Bakung, segar;92,5;27;2;0,2;4,2;3,8;1,1;19;20;0,5;37;340;0,2;0,3;-;1.080;-;0,2;0,1;0,3;42;100;Tunggal;Sayur;KZGMI-2001
367;NP001;Balichong;59,9;152;13,2;0,8;22,9;1,5;3,6;380;210;2,9;120;310;0,8;1,1;34;-;-;0,01;0,08;0,2;-;-;Olahan;Bumbu;KZGMI-2001
368;AP032;Bantal;52,3;190;3,3;0,3;43,5;3,4;0,6;9;-;0,4;164;84;0,2;0,9;-;-;-;0,27;0,02;3,6;-;100;Olahan;Serealia;KZGMI-2001
369;EP001;Barongko;66,7;159;3,1;5,8;23,5;-;0,7;35;65;1,2;46;78;0,3;0,6;-;-;-;-;-;-;8;100;Olahan;Buah;KZGMI-2001
370;AP033;Baruasa;5,3;417;6,5;8,2;79,3;-;0,7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001
371;AP034;Batar daan;75,3;107;2,2;2,2;19,6;-;0,7;20;30;0,6;200;90;0,1;-;-;-;-;0,18;0,02;-;-;100;Olahan;Serealia;KZGMI-2001
372;BR002;Batatas gembili, segar;76,7;76;1,1;0,9;16;4,2;0,7;-;40;0,2;10;200;0,2;0,3;-;-;-;0,06;-;0,9;-;85;Tunggal;Umbi;KZGMI-2001
373;BP001;Batatas kelapa, ubi, bakar;73,2;110;1,4;1,1;23,4;4,5;0,7;1;46;0,2;12;230;0,2;0,3;-;-;-;1,13;-;-;-;85;Olahan;Umbi;KZGMI-2001
374;BP002;Batatas kelapa, ubi, kukus;75,7;92;1,2;0,3;21;4,1;1,8;-;42;0,2;10;209;0,2;0,3;-;-;-;0,28;-;0,7;-;100;Olahan;Umbi;KZGMI-2001
375;BR003;Batatas kelapa, ubi, segar;76,1;89;1,1;0,1;21;4;0,7;-;40;0,2;20;340;0,1;0,2;-;-;-;0,38;-;0,9;-;85;Tunggal;Umbi;KZGMI-2001
376;BP003;Batatas tali, ubi, rebus;53,2;182;2,4;0,4;42,2;9,2;1,8;1;80;0,3;20;402;0,3;0,6;-;-;-;0,27;-;1,3;-;100;Olahan;Umbi;KZGMI-2001
377;DR009;Bayam merah, segar;88,5;41;2,2;0,8;6,3;2,2;2,2;520;80;7;20;60;0,2;0,8;-;7.325;-;0,2;0,1;0,1;62;71;Tunggal;Sayur;KZGMI-2001
378;FR013;Bebek alabio, daging, segar;57;303;11,3;27;3,7;-;1;20;293;4,8;50;260;0,7;2;-;-;-;0,36;0,04;4,1;-;100;Tunggal;Daging;KZGMI-2001
379;FP003;Bebek, daging, goreng;48,8;300;24;20,7;4,5;-;2;170;170;4,1;34;6;0,4;3;-;-;-;0,1;0,4;10,6;-;100;Olahan;Daging;KZGMI-2001
380;DP026;Beberuk;89,1;65;1,1;5,2;3,5;3,1;1,1;179;72;8,3;53;427;0,4;0,2;-;44;-;0,3;-;4,4;-;100;Olahan;Sayur;KZGMI-2001
381;NP002;Bekasam;65,5;116;11,9;4,9;6,1;3,5;11,6;704;757;7,5;711;176;0,8;1,9;-;-;-;-;0,03;2,1;-;-;Olahan;Bumbu;KZGMI-2001
382;NP003;Bekasang;67,1;78;11,4;2;3,6;0,4;15,9;54;97;2,6;4.016;121;0,2;4,8;-;-;-;0,15;0,12;0,6;-;-;Olahan;Bumbu;KZGMI-2001
383;FR014;Belibis, daging, segar;71,3;131;20,2;4,3;2,8;-;1,4;8;192;9,6;46;104;1,2;1,6;-;-;-;0,37;0,08;2,7;-;100;Tunggal;Daging;KZGMI-2001
384;GR011;Belut, segar;81,5;70;14,6;0,8;1;-;2,1;49;155;1,5;55;169;0,2;1,2;-;-;-;0,22;0,12;7,7;-;-;Tunggal;Ikan dsb;KZGMI-2001
385;AR001;Beras giling, mentah;12;357;8,4;1,7;77,1;0,2;0,8;147;81;1,8;27;71;0,1;0,5;-;-;-;0,2;0,08;2,6;-;100;Tunggal;Serealia;KZGMI-2001
386;AR004;Beras hitam, mentah;12,9;351;8;1,3;76,9;20,1;0,9;6;198;0,1;15;105;0,1;1,6;-;-;-;0,21;0,06;-;-;100;Tunggal;Serealia;KZGMI-2001
